name,address,City,State,zip,phone,url,types,closed,lat,long,scraped_for_emails,phase1_success,phase2_success,
Something Safari,"314 Water St, Excelsior", Excelsior,MN,55331,(952) 474-4422,http://www.somethingsafari.com/,"[""book_store"",""food"",""store"",""point_of_interest"",""establishment""]",,44.9017369,-93.5680379,,#N/A,somethingsafari.com,
Jellycat,"800 N Washington Ave #303, Minneapolis", Minneapolis,MN,55401,(612) 332-3088,http://www.jellycat.com/,"[""store"",""point_of_interest"",""establishment""]",,44.9894695,-93.2786884,,#N/A,jellycat.com,
ABC Toy Zone,"14003 Grand Ave, Burnsville", Burnsville,MN,55337,(952) 892-7666,http://www.abctoyzone.com/,"[""store"",""point_of_interest"",""establishment""]",,44.7499614,-93.2835558,,#N/A,abctoyzone.com,
PioMu,"Garden Hills, Guaynabo, Puerto Rico", Puerto Rico,rt, Rico,(787) 273-1337,http://www.piomu.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.399907,-66.108126,,#N/A,piomu.com,
LearningTower Toys,"4747 Nesconset Hwy, Port Jefferson Station", Port Jefferson Station,NY,11776,(631) 928-2040,http://learningtower.com/,"[""store"",""point_of_interest"",""establishment""]",,40.9163646,-73.0536653,,#N/A,learningtower.com,
Palo Alto Sport Shop & Toy World Inc,"526 Waverley St, Palo Alto", Palo Alto,CA,94301,(650) 328-8555,http://www.toyandsport.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,37.4465895,-122.1599999,,#N/A,toyandsport.com,
Cheeky Monkey Toys,"640 Santa Cruz Ave, Menlo Park", Menlo Park,CA,94025,(650) 328-7975,http://www.cheekymonkeytoys.com/,"[""store"",""point_of_interest"",""establishment""]",,37.4528548,-122.1839557,,#N/A,cheekymonkeytoys.com,
Pun's Toy Shop,"839 1/2 Lancaster Ave, Bryn Mawr", Bryn Mawr,PA,19010,(610) 525-9789,http://www.punstoys.com/,"[""store"",""point_of_interest"",""establishment""]",,40.022214,-75.319405,,#N/A,punstoys.com,
Science Toy Store,"1805 Scherer Pkwy, St Charles", St Charles,MO,63303,(314) 754-8715,http://www.sciencetoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,38.7638676,-90.524304,,#N/A,sciencetoystore.com,
Froggy's Toy Stop,"114 E 4th St, Rochester", Rochester,MI,48307,(248) 651-1511,http://m.facebook.com/froggystoystop/about?expand_all=1&refid=17,"[""store"",""point_of_interest"",""establishment""]",,42.6806342,-83.1330804,,#N/A,m.facebook.comfroggystoystopabout?expand_all=1&refid=17,
Evan's Toy Shoppe,"1647 Whitney Ave, Hamden", Hamden,CT,6517,(203) 230-2840,http://www.jordiestoyshoppect.com/evans-toy-shoppe/4553908743,"[""store"",""point_of_interest"",""establishment""]",,41.359193,-72.909244,,#N/A,jordiestoyshoppect.comevans-toy-shoppe4553908743,
Great Lakes Hobby & Toy,"43055 Van Dyke, Sterling Heights", Sterling Heights,MI,48314,(586) 254-1600,http://www.greatlakeshobby.com/,"[""store"",""point_of_interest"",""establishment""]",,42.6100775,-83.0323668,,#N/A,greatlakeshobby.com,
Wooden Toy,"1275 Silas Deane Hwy, Wethersfield", Wethersfield,CT,6109,(860) 529-1945,http://www.thewoodentoy.com/,"[""store"",""point_of_interest"",""establishment""]",,41.6865682,-72.6564865,,#N/A,thewoodentoy.com,
Top Ten Toys,"600 Pine St, Seattle", Seattle,WA,98101,(206) 623-1370,http://www.toptentoys.com/,"[""store"",""point_of_interest"",""establishment""]",,47.6131543,-122.3354724,,#N/A,toptentoys.com,
Tiddlywinks Toys and Games,"129 N Glassell St, Orange", Orange,CA,92866,(714) 997-8697,http://tiddlywinksoc.com/,"[""store"",""point_of_interest"",""establishment""]",,33.7887397,-117.8528825,,#N/A,tiddlywinksoc.com,
G. Willikers! Toy Shop,"13 Market St, Portsmouth", Portsmouth,NH,3801,(603) 436-7746,http://www.gwillikers.com/,"[""store"",""point_of_interest"",""establishment""]",,43.0773772,-70.7573547,,#N/A,gwillikers.com,
Elite Toy Store Inc.,"203 Sampson Ave, Islandia", Islandia,NY,11749,(646) 322-8365,http://www.elitetoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,40.8045817,-73.1592121,,#N/A,elitetoystore.com,
Toy Tyme,"29 Chesterfield Center #134, Chesterfield", Chesterfield,MO,63017,(636) 733-0088,http://www.toytyme.com/,"[""store"",""point_of_interest"",""establishment""]",,38.6507784,-90.5644321,,#N/A,toytyme.com,
Rock Paper Scissors Toy Store,"45 Depot St, Duxbury", Duxbury,MA,2332,(781) 452-7376,http://www.rockpaperscissorsdux.com/,"[""store"",""point_of_interest"",""establishment""]",,42.0233744,-70.6831964,,#N/A,rockpaperscissorsdux.com,
Frisco Train Store,"24 Front St, Valley Park", Valley Park,MO,63088,(636) 529-1660,http://friscotrainstore.com/,"[""store"",""point_of_interest"",""establishment""]",,38.5497984,-90.4918063,,#N/A,friscotrainstore.com,
Retroland Toys,"37918 Vine St, Willoughby", Willoughby,OH,44094,(440) 942-8060,http://www.retrolandtoys.com,"[""store"",""point_of_interest"",""establishment""]",,41.6423831,-81.4098245,,#N/A,retrolandtoys.com,
Walmart Santurce,"701 RH Todd Ave Stop 18, San Juan", San Juan,PR,907,(787) 641-5600,http://www.walmartpr.com/,"[""department_store"",""grocery_or_supermarket"",""food"",""store"",""point_of_interest"",""establishment""]",,18.4470688,-66.0764373,,#N/A,walmartpr.com,
Owl's Nest Toy Shop,"1220 Prospect St, Southlake", Southlake,TX,76092,(817) 251-0155,http://www.owlsnesttoys.com/,"[""store"",""point_of_interest"",""establishment""]",,32.9440997,-97.1332482,,#N/A,owlsnesttoys.com,
G Willikers,"22 Forest Ave, Locust Valley", Locust Valley,NY,11560,(516) 671-3335,http://www.gwillikersgifts.com/,"[""store"",""point_of_interest"",""establishment""]",,40.8758189,-73.5976144,,#N/A,gwillikersgifts.com,
Toybox,"14600 Lakeside Cir #1150, Sterling Heights", Sterling Heights,MI,48313,(586) 532-5405,http://www.everyonelovestoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.6227344,-82.9859176,,#N/A,everyonelovestoys.com,
Go Bananas,"42395 Ryan Rd #122, Ashburn", Ashburn,VA,20148,(703) 327-1900,http://www.gobananastoys.com/,"[""store"",""point_of_interest"",""establishment""]",,38.9857033,-77.5368593,,#N/A,gobananastoys.com,
Jordie's Toy Shoppe,"1100 Village Walk, Guilford", Guilford,CT,6437,(203) 453-8560,http://www.jordiestoyshoppect.com/,"[""store"",""point_of_interest"",""establishment""]",,41.2874013,-72.6740713,,#N/A,jordiestoyshoppect.com,
Suarez Toys House,"Carolina, Puerto Rico", Puerto Rico,rt, Rico,(787) 288-5050,http://www.suareztoyhouse.com/products/,"[""store"",""point_of_interest"",""establishment""]",,18.3807819,-65.9573872,,#N/A,suareztoyhouse.comproducts,
Kremer's Toy And Hobby,"11011 61st St NE #120, Albertville", Albertville,MN,55301,(763) 497-2777,http://www.kremerstoyandhobby.com/,"[""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,45.2398436,-93.6654475,,#N/A,kremerstoyandhobby.com,
Fun Stuff Inc,"3639 Merrick Rd, Seaford", Seaford,NY,11783,(516) 409-8697,http://www.fstoys.com/,"[""store"",""point_of_interest"",""establishment""]",,40.6654592,-73.4965462,,#N/A,fstoys.com,
Happy Up Inc. - previously Once Upon a Toy,"6654 Edwardsville Crossing Dr, Edwardsville", Edwardsville,IL,62025,(618) 656-9596,http://happyupinc.com/,"[""store"",""point_of_interest"",""establishment""]",,38.7883064,-89.9535136,,#N/A,happyupinc.com,
kiddywampus,"1023 Mainstreet, Hopkins", Hopkins,MN,55343,(952) 926-7871,http://www.kiddywampus.com/,"[""store"",""point_of_interest"",""establishment""]",,44.924557,-93.4135759,,#N/A,kiddywampus.com,
Character Development Books,"209 Haverford Ave, Narberth", Narberth,PA,19072,(610) 668-1545,http://characterdevelopment.net/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,40.0053235,-75.2617359,,#N/A,characterdevelopment.net,
Flying Circus Toys,"6500 Labeaux Ave NE e140, Albertville", Albertville,MN,55301,(763) 497-8800,http://flyingcircustoys.com/,"[""store"",""point_of_interest"",""establishment""]",,45.244836,-93.66093,,#N/A,flyingcircustoys.com,
Acme Superstore,"905 E State Rd 434 #100, Longwood", Longwood,FL,32750,(407) 331-0433,http://www.acme-superstore.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,28.6982645,-81.3293837,,#N/A,acme-superstore.com,
Learning Express Toys of Newtown,"2833 S Eagle Rd, Newtown", Newtown,PA,18940,(215) 968-6850,http://www.learningexpress.com/stores/newtown,"[""store"",""point_of_interest"",""establishment""]",,40.2349934,-74.9398811,,#N/A,learningexpress.comstoresnewtown,
Time Machine Hobby,"71 Hilliard St, Manchester", Manchester,CT,6042,(860) 646-0610,http://www.timemachinehobby.com/,"[""store"",""point_of_interest"",""establishment""]",,41.7930698,-72.5285628,,#N/A,timemachinehobby.com,
The Learning Express & The Teaching Room,"158 South St, Morristown", Morristown,NJ,7960,(973) 540-8358,http://www.learningexpress.com/stores/,"[""store"",""point_of_interest"",""establishment""]",,40.7927879,-74.4764185,,#N/A,learningexpress.comstores,
Wonder World Toys,"23 S Main St, Medford", Medford,NJ,8055,(609) 953-1118,http://www.wonderworldmedford.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,39.8988031,-74.823375,,#N/A,wonderworldmedford.com,
Animal Instinct,"232 Main St, Ogunquit", Ogunquit,ME,3907,(207) 646-7728,http://www.animalinstinct.com/,"[""store"",""point_of_interest"",""establishment""]",,43.2493594,-70.5996416,,#N/A,animalinstinct.com,
The Toy Room,"153 Greenwood Ave # 3, Bethel", Bethel,CT,6801,(203) 791-0531,http://www.toyroombethel.com/,"[""store"",""point_of_interest"",""establishment""]",,41.3711879,-73.4125922,,#N/A,toyroombethel.com,
Silly Willyz,"161 W Wisconsin Ave #1h, Village of Pewaukee", Village of Pewaukee,WI,53072,(262) 696-4021,http://www.sillywillyz.com/,"[""store"",""point_of_interest"",""establishment""]",,43.0839052,-88.2637825,,#N/A,sillywillyz.com,
Learning Express Toys of Windermere / Ocoee,"2564 Maguire Rd, Ocoee", Ocoee,FL,34761,(407) 614-8383,http://learningexpress.com/stores/windermere/,"[""store"",""point_of_interest"",""establishment""]",,28.532913,-81.539893,,#N/A,learningexpress.comstoreswindermere,
Tactical Toy Store USA,"300 Travis Ln, Waukesha", Waukesha,WI,53189,(262) 278-4313,http://www.tacticaltoystoreusa.com/,"[""store"",""point_of_interest"",""establishment""]",,42.9765925,-88.2324559,,#N/A,tacticaltoystoreusa.com,
No Kidding,"33 County Road, Route 6, Mattapoisett", Mattapoisett,MA,2739,(508) 758-3323,http://www.nokiddingtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.663831,-70.813861,,#N/A,nokiddingtoys.com,
The Toy Vault Warehouse,"34 Lark Industrial Dr # B, Greenville", Greenville,RI,2828,(401) 349-3889,http://www.thetoyvault.com/,"[""storage"",""store"",""point_of_interest"",""establishment""]",,41.864036,-71.536409,,#N/A,thetoyvault.com,
The Toy Tree,"14 Church Hill Rd, Newtown", Newtown,CT,6470,(203) 270-8697,http://www.toytreeshop.com/,"[""store"",""point_of_interest"",""establishment""]",,41.4138442,-73.3046236,,#N/A,toytreeshop.com,
Dinosaur Farm,"1510 Mission St, South Pasadena", South Pasadena,CA,91030,(626) 441-2767,http://www.dinosaurfarm.com/,"[""store"",""point_of_interest"",""establishment""]",,34.1159733,-118.1511693,,#N/A,dinosaurfarm.com,
Smooshies,"260 Crandon Blvd #27, Key Biscayne", Key Biscayne,FL,33149,(305) 361-9393,http://www.smooshies.com/,"[""cafe"",""restaurant"",""food"",""store"",""point_of_interest"",""establishment""]",,25.696538,-80.164333,,#N/A,smooshies.com,
Dragon's Nest Inc,"31 Market Square, Newburyport", Newburyport,MA,1950,(978) 462-8802,http://www.dragonsnesttoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.811091,-70.869892,,#N/A,dragonsnesttoys.com,
JouJou,"555 Main St, Salt Lake City", Salt Lake City,UT,84111,(801) 258-6557,http://www.grandamerica.com/services/grand-shopping/Jou_Jou,"[""food"",""store"",""point_of_interest"",""establishment""]",,40.7575694,-111.8901518,,#N/A,grandamerica.comservicesgrand-shoppingJou_Jou,
The Tutoring Toy,"1400 Foothill Dr, Salt Lake City", Salt Lake City,UT,84108,(801) 581-1060,http://www.tutoringtoy.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.7392947,-111.8270197,,#N/A,tutoringtoy.com,
Apples Toy Store,"2469 Tall Maple Loop, Ocoee", Ocoee,FL,34761,(407) 448-1632,http://www.applestoystore.com/,"[""electronics_store"",""store"",""point_of_interest"",""establishment""]",,28.6052647,-81.5146479,,#N/A,applestoystore.com,
YoYo Heaven,"35 S Main St, Concord", Concord,NH,3301,(603) 290-5353,http://www.yoyoheaven.com/,"[""store"",""point_of_interest"",""establishment""]",,43.2027605,-71.5348007,,#N/A,yoyoheaven.com,
Orlando Premium III CC/GM/TO,"8200 Vineland Ave, Orlando", Orlando,FL,32821,(407) 787-3909,http://www.calendarholdings.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,28.3881042,-81.492323,,#N/A,calendarholdings.com,
Once Upon a Toy,"1375 Buena Vista Dr, Orlando", Orlando,FL,32821,(407) 939-5277,http://www.disneysprings.com/shops/once-upon-a-toy/?CMP=OKC-wdw_gmap_shop_555,"[""store"",""point_of_interest"",""establishment""]",,28.371492,-81.514486,,#N/A,disneysprings.comshopsonce-upon-a-toy?CMP=OKC-wdw_gmap_shop_555,
Play Time Toys,"6235 Edgewater Dr, Orlando", Orlando,FL,32810,(407) 296-9898,http://www.playtimetoys.net/,"[""store"",""point_of_interest"",""establishment""]",,28.615756,-81.420612,,#N/A,playtimetoys.net,
Kiddly Winks,"801 Williams St, Longmeadow", Longmeadow,MA,1106,(413) 567-0688,http://www.kiddlywinks.com/,"[""store"",""point_of_interest"",""establishment""]",,42.0552365,-72.5544046,,#N/A,kiddlywinks.com,
Mudpuddles,"Kerrytown Market & Shops, 407 N 5th Ave, Ann Arbor", Ann Arbor,MI,48104,(734) 662-0022,http://kerrytown.com/mudpuddles/,"[""store"",""point_of_interest"",""establishment""]",,42.2844708,-83.7462969,,#N/A,kerrytown.commudpuddles,
Learning Shop Mequon,"11043 N Port Washington Rd, Mequon", Mequon,WI,53092,(262) 478-0227,http://www.learningshop.com/,"[""store"",""point_of_interest"",""establishment""]",,43.2189018,-87.924827,,#N/A,learningshop.com,
ToyCrazy,"2211 Larkspur Landing Cir, Larkspur", Larkspur,CA,94939,(415) 925-1775,http://gotoycrazy.com/,"[""store"",""point_of_interest"",""establishment""]",,37.9468514,-122.5087767,,#N/A,gotoycrazy.com,
Drâ€™s Toy Store Medical Equipment,"2512 SW 30th Ave, Hallandale Beach", Hallandale Beach,FL,33009,(954) 457-0075,http://www.drstoystore.com/,"[""health"",""store"",""point_of_interest"",""establishment""]",,25.9892633,-80.1665401,,#N/A,drstoystore.com,
Teaching Toys Too,"4635 Point Fosdick Dr NW # 300, Gig Harbor", Gig Harbor,WA,98335,(253) 514-6113,http://www.teachingtoysandbooks.com/,"[""store"",""point_of_interest"",""establishment""]",,47.3005557,-122.5766268,,#N/A,teachingtoysandbooks.com,
Funky Monkey Toys,"5 N Washington St, Oxford", Oxford,MI,48371,(248) 572-4828,http://www.funkymonkeytoysonline.com/,"[""store"",""point_of_interest"",""establishment""]",,42.8249177,-83.2654985,,#N/A,funkymonkeytoysonline.com,
Mudpuddles Toys & Books,"16420 SW Langer Dr, Sherwood", Sherwood,OR,97140,(503) 625-7699,http://www.mudpuddlestoys.com/,"[""store"",""point_of_interest"",""establishment""]",,45.3659735,-122.8448842,,#N/A,mudpuddlestoys.com,
Funny Toys LLC,"1677 Market St, Weston", Weston,FL,33326,(954) 306-0866,http://funnytoysllcfl.com/,"[""store"",""point_of_interest"",""establishment""]",,26.0978882,-80.3810186,,#N/A,funnytoysllcfl.com,
Island Treasure Toys,"20 Bow St, Freeport", Freeport,ME,4032,(207) 865-7007,http://www.islandtreasuretoys.com/,"[""store"",""point_of_interest"",""establishment""]",,43.856678,-70.101927,,#N/A,islandtreasuretoys.com,
Learning Express Toys of Woodstock,"2295 Towne Lake Pkwy, Woodstock", Woodstock,GA,30189,(770) 517-2766,http://www.learningexpress.com/store/woodstock/,"[""store"",""point_of_interest"",""establishment""]",,34.1127456,-84.5556628,,#N/A,learningexpress.comstorewoodstock,
Timbuk Toys Lakewood,"7830 W Alameda Ave, Lakewood", Lakewood,CO,80226,(303) 985-0035,http://www.timbuktoys.com/,"[""store"",""point_of_interest"",""establishment""]",,39.709939,-105.0837468,,#N/A,timbuktoys.com,
The Wooden Horse,"796 Blossom Hill Rd, Los Gatos", Los Gatos,CA,95032,(888) 356-8821,http://woodenhorsetoys.com/,"[""store"",""point_of_interest"",""establishment""]",,37.2347378,-121.9610447,,#N/A,woodenhorsetoys.com,
Learning Express Toys of Richboro,"Crossroads Plaza, 800 Bustleton Pike, Richboro", Richboro,PA,18954,(215) 953-6800,http://www.learningexpress.com/stores/richboro,"[""store"",""point_of_interest"",""establishment""]",,40.208185,-75.013121,,#N/A,learningexpress.comstoresrichboro,
Cedarburg Toy Co.,"Washington Ave, Cedarburg", Cedarburg,WI,53012,(262) 377-7224,http://cedarburgtoyco.com/,"[""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,43.297323,-87.987357,,#N/A,cedarburgtoyco.com,
Adventure Toy Store,"12665 Minuteman Dr #1, Draper", Draper,UT,84020,(801) 576-6460,http://adventuretoystore.com/,"[""bicycle_store"",""store"",""point_of_interest"",""establishment""]",,40.5207539,-111.8901944,,#N/A,adventuretoystore.com,
