name,address,City,State,zip,phone,url,types,closed,lat,long,count
Gap Kids,"200 State St S12, Boston", Boston,MA,02109,(617) 951-9300,http://www.gap.com/products/boston-ma-store-2240.jsp?tid=gpss000001,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,42.3598721,-71.0530398,8
Polo Ralph Lauren Children's Factory Store,"875 S Grand Central Pkwy, Las Vegas", Las Vegas,NV,89106,(702) 382-7573,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=74994&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,36.1643608,-115.1591328,8
Gap Kids,"3301 Veterans Memorial Blvd, Metairie", Metairie,LA,70002,(504) 835-3807,http://www.gap.com/products/metairie-la-store-4527.jsp?tid=gpss000001,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,30.0059734,-90.1572953,8
Polo Ralph Lauren Children's Factory Store,"11401 NW 12th St #378, Miami", Miami,FL,33172,(305) 591-7170,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=66365&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,25.7872071,-80.3790416,8
Polo Ralph Lauren Children's Factory Store,"48400 Seminole Dr, Cabazon", Cabazon,CA,92230,(951) 849-0167,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=66387&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,33.929952,-116.817008,8
Polo Ralph Lauren Children's Factory Store,"1800 Sawgrass Mills Cir #2700, Fort Lauderdale", Fort Lauderdale,FL,33323,(954) 846-0124,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=85701&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,26.152322,-80.32024,8
Polo Ralph Lauren Children's Factory Store,"1 Premium Outlet Blvd, Wrentham", Wrentham,MA,02093,(508) 384-3976,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=75778&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,42.0364956,-71.3518693,8
Polo Ralph Lauren Children's Factory Store,"1931 Atlantic Ave #110, Atlantic City", Atlantic City,NJ,08401,(609) 344-0487,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=76823&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,39.360473,-74.435336,8
Younkers,"503 E Ives St, Marshfield", Marshfield,WI,54449,(715) 387-8611,http://www.younkers.com/stores/wi/marshfield/503-east-ives.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,44.6788019,-90.1630161,8
Polo Ralph Lauren Children's Factory Store,"1251 Industrial Park Dr, Smithfield", Smithfield,NC,27577,(919) 934-6999,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=75726&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,35.5111158,-78.3095259,8
Younkers,"2600 Roosevelt Rd, Marinette", Marinette,WI,54143,(715) 732-3720,http://www.younkers.com/stores/wi/marinette/2600-roosevelt-road.html,"[""department_store"",""store"",""point_of_interest"",""establishment""]",,45.0787637,-87.6574931,8
Gap Kids,"1485 Portage Ave, Winnipeg, MB R3G 0W4, Canada", Canada,", ",anada,(204) 775-5216,http://www.gapcanada.ca/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,49.8838828,-97.1992224,8
Saks OFF 5TH,"1001 State St, Santa Barbara", Santa Barbara,CA,93101,(877) 551-7257,http://stores.saksoff5th.com/santa-barbara,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,34.421433,-119.702312,7
Cavender's Western Outfitter,"7605 Rogers Ave, Fort Smith", Fort Smith,AR,72903,(479) 452-8444,https://www.cavenders.com/storedetails.html?vendorId=55,"[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,35.353168,-94.347799,7
Cavender's Western Outfitter,"1925 N Perkins Rd, Stillwater", Stillwater,OK,74075,(405) 624-1853,https://www.cavenders.com/storedetails.html?vendorId=59,"[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,36.1409888,-97.0509852,7
Saks OFF 5TH,"94-800 Lumiaina St, Waipahu", Waipahu,HI,96797,(808) 676-1773,http://stores.saksoff5th.com/waikele,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,21.4033409,-158.0064459,7
Saks OFF 5TH,"681 Leavesley Rd, Gilroy", Gilroy,CA,95020,(408) 848-2671,http://stores.saksoff5th.com/gilroy,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,37.025863,-121.565825,7
Cavender's Western Outfitter,"2340 Airline Dr, Bossier City", Bossier City,LA,71111,(318) 742-2323,https://www.cavenders.com/storedetails.html?vendorId=8,"[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,32.544866,-93.707768,7
Saks OFF 5TH,"600 Nicollet Mall #100, Minneapolis", Minneapolis,MN,55402,(612) 594-5962,http://stores.saksoff5th.com/minneapolis,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.9776429,-93.27213,7
Cavender's Western Outfitter,"4455 US-77, Brownsville", Brownsville,TX,78520,(956) 350-3355,https://www.cavenders.com/storedetails.html?vendorId=9,"[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,25.970706,-97.516021,7
Saks OFF 5TH,"4840 Tanger Outlet Blvd, North Charleston", North Charleston,SC,29418,(843) 740-0119,http://stores.saksoff5th.com/charleston,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,32.8719053,-80.0177238,7
Cavender's Western Outfitter,"1847 Village W Pkwy #129, Kansas City", Kansas City,KS,66111,(913) 328-0444,https://www.cavenders.com/storedetails.html?vendorId=25,"[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,39.126022,-94.827683,7
Cavender's Western Outfitter,"5620 Loop 289 W, Lubbock", Lubbock,TX,79424,(806) 785-7400,https://www.cavenders.com/storedetails.html?vendorId=28,"[""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,33.542774,-101.936606,7
Cavender's Western Outfitter,"186 Bass Pro Blvd, Denham Springs", Denham Springs,LA,70726,(225) 664-9800,https://www.cavenders.com/storedetails.html?vendorId=65,"[""clothing_store"",""shoe_store"",""store"",""point_of_interest"",""establishment""]",,30.4495733,-90.9635345,7
Saks OFF 5TH,"549 S Chillicothe Rd, Aurora", Aurora,OH,44202,(330) 995-0665,http://stores.saksoff5th.com/aurora-farms,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.3023962,-81.3432641,7
Saks OFF 5TH,"14500 W Colfax Ave, Lakewood", Lakewood,CO,80401,(303) 277-0335,http://stores.saksoff5th.com/colorado,"[""department_store"",""shoe_store"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,39.7319302,-105.1610032,7
crazy 8,"95 N Moorland Rd, Brookfield", Brookfield,WI,53005,(262) 784-3678,http://crazy8.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,43.0322184,-88.1093949,6
Crazy 8,"218 Yorktown Shopping Center, Lombard", Lombard,IL,60148,(630) 620-8741,http://www.crazy8.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.8395878,-88.008024,6
Crazy 8,"2350 S I-35 Service Rd, Moore", Moore,OK,73160,(405) 793-6057,http://www.crazy8.com/locator/store_locator.jsp,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,35.3163706,-97.4873485,6
Crazy 8,"2200 E Williams Field Rd #103, Gilbert", Gilbert,AZ,85295,(480) 917-6893,http://www.crazy8.com/index.jsp,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,33.310614,-111.7428173,6
Crazy 8,"6600 Menaul Blvd NE, Albuquerque", Albuquerque,NM,87110,(505) 884-3177,http://www.crazy8.com/locator/store_locator.jsp?FOLDER%3C%3Efolder_id=2534374306245915&bmUID=1416202562183&MAPQUEST%3C%3Etransaction=init,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,35.107051,-106.5738463,6
Macy's,"2800 S Columbia Rd, Grand Forks", Grand Forks,ND,58201,(701) 780-2100,http://l.macys.com/grand-forks-nd,"[""department_store"",""jewelry_store"",""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,47.89185,-97.070686,6
Crazy 8,"5741 Christie Ave, Emeryville", Emeryville,CA,94608,(510) 654-4892,http://www.crazy8.com,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,37.8360086,-122.2948299,6
Macy's,"111 Puainako St, Hilo", Hilo,HI,96720,(808) 959-3561,http://l.macys.com/hilo-hi,"[""department_store"",""jewelry_store"",""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,19.6974897,-155.0621046,6
Macy's,"2000 Montebello Town Center, Montebello", Montebello,CA,90640,(323) 201-2111,http://l.macys.com/montebello-in-montebello-ca,"[""department_store"",""shoe_store"",""jewelry_store"",""clothing_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,34.0353051,-118.0834941,6
"Babies""R""Us Express","25362 El Paseo, Mission Viejo", Mission Viejo,CA,92691,(949) 582-7945,http://www.toysrus.com/storeLocator/index.jsp?address=92691,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,33.592065,-117.672805,6
"Babies""R""Us Express","600 Francisco Blvd W, San Rafael", San Rafael,CA,94901,(415) 721-7188,http://www.toysrus.com/storeLocator/index.jsp?address=94901,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,37.96423,-122.512306,6
Macy's,"200 Brea Mall, Brea", Brea,CA,92821,(714) 990-1400,http://l.macys.com/brea-ca,"[""department_store"",""jewelry_store"",""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,33.9162535,-117.8851017,6
"Babies""R""Us Express","2270 Bridgepointe Pkwy, San Mateo", San Mateo,CA,94404,(650) 345-4475,http://www.toysrus.com/storeLocator/index.jsp?address=94404,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,37.5602013,-122.2808669,6
Macy's,"6100 Topanga Canyon Blvd., Woodland Hills, CA 91367-3627", CA 91367-3627,36,-3627,(818) 313-8844,http://l.macys.com/woodland-hills-ca?cm_mmc=macys_places-_-Woodland?_-n-_-506,"[""department_store"",""shoe_store"",""jewelry_store"",""clothing_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,34.181838,-118.603037,6
"Babies""R""Us Express","416 Southbridge St, Auburn", Auburn,MA,01501,(508) 832-9598,http://www.toysrus.com/storeLocator/index.jsp?address=01501,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,42.2022456,-71.8398008,6
"Babies""R""Us Express","8325 S Dixie Hwy, Miami", Miami,FL,33143,(305) 662-1911,http://www.toysrus.com/storeLocator/index.jsp?address=33143,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,25.6925501,-80.3017111,6
Macy's,"West 200 Hanley Ave. #4, Coeur d'Alene", Coeur d'Alene,ID,83815,(208) 772-8700,http://l.macys.com/coeur-dalene-id,"[""department_store"",""jewelry_store"",""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,47.7316949,-116.7887933,6
"Babies""R""Us Express","5801 Sunrise Hwy, Holbrook", Holbrook,NY,11741,(631) 563-8697,http://www.toysrus.com/storeLocator/index.jsp?address=11741,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,40.7704457,-73.0654834,6
Gymboree,"127 Yorktown Shopping Center, Lombard", Lombard,IL,60148,(630) 629-5040,http://www.gymboree.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,41.8395261,-88.0073215,5
Gymboree,"10300 Southside Blvd, Jacksonville", Jacksonville,FL,32256,(904) 363-1771,http://www.gymboree.com/locator/store_locator.jsp,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,30.1839237,-81.5536975,5
Other Mothers,"5001 Montgomery Blvd NE, Albuquerque", Albuquerque,NM,87109,(505) 884-6333,http://othermothers.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,35.1329383,-106.5886437,5
Gymboree,"1555 Simi Town Center Way, Simi Valley", Simi Valley,CA,93065,(805) 582-2184,http://www.gymboree.com/locator/store_locator.jsp?FOLDER%3C%3Efolder_id=2534374306254234&bmUID=kFI755H&MAPQUEST%3C%3Etransaction=init,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,34.2846434,-118.7699657,5
Other Mothers,"1430 W Kearney St, Springfield", Springfield,MO,65803,(417) 831-1363,http://www.other-mothers.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,37.240576,-93.3090185,5
J.Crew Mercantile,"3 Oakway Center, Eugene", Eugene,OR,97401,(541) 686-3020,http://stores.factory.jcrew.com/en/j-crew-mercantile-oakway-center?srccode=X%7CPMG%7CNaturalSearch%7CLocal%7CGoogle%7C198,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.0658905,-123.0767332,5
Gymboree,"3228 NW Federal Hwy, Jensen Beach", Jensen Beach,FL,34957,(772) 692-4698,http://www.gymboree.com/index.jsp,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,27.2416427,-80.2750207,5
Just Between Friends,"2785 S Oneida St, Green Bay", Green Bay,WI,54304,(920) 841-0457,http://www.greenbay.jbfsale.com/,"[""store"",""clothing_store"",""furniture_store"",""home_goods_store"",""point_of_interest"",""establishment""]",,44.4749837,-88.0748269,5
Just Between Friends,"7025 W Pershing Ave, Visalia", Visalia,CA,93291,(559) 623-9205,http://www.visalia.jbfsale.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,36.338844,-119.3693651,5
Just Between Friends,"701 W Lime St, Lakeland", Lakeland,FL,33815,(863) 640-1504,http://lakeland.jbfsale.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,28.0410179,-81.963498,5
Other Mothers,"2102 Caldwell Blvd #116, Nampa", Nampa,ID,83651,(208) 468-9555,http://www.othermothersnampa.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,43.6092365,-116.6053621,5
Just Between Friends,"Edgewood Trail, Appleton", Appleton,WI,54913,(920) 841-0457,http://www.appleton.jbfsale.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,44.315849,-88.336021,5
Other Mothers,"2811 Thornton Ln, Temple", Temple,TX,76502,(254) 742-0200,http://www.othermotherstemple.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,31.0764132,-97.381772,5
Gymboree,"381 Park City Center, Lancaster", Lancaster,PA,17601,(717) 397-7175,http://www.gymboree.com/shop/store-locator,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.0673777,-76.3407267,5
J.Crew Mercantile,"11500 W Burleigh St #110, Wauwatosa", Wauwatosa,WI,53222,(414) 778-0526,http://stores.factory.jcrew.com/en/j-crew-mercantile-mayfair-collection?srccode=X%7CPMG%7CNaturalSearch%7CLocal%7CGoogle%7C197,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,43.0763267,-88.0563086,5
Just Between Friends,"1132 S Gary Pl, Tulsa", Tulsa,OK,74104,(918) 902-7489,http://tulsa.jbfsale.com/,"[""clothing_store"",""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,36.1467,-95.941782,5
J.Crew Mercantile,"1182 Roseville Pkwy #120, Roseville", Roseville,CA,95678,(916) 774-4011,http://stores.factory.jcrew.com/en/j-crew-mercantile-fountains-at-roseville?srccode=X%7CPMG%7CNaturalSearch%7CLocal%7CGoogle%7C192,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,38.7682884,-121.2687965,5
J.Crew Mercantile,"1130 Bowman Rd, Mt Pleasant", Mt Pleasant,SC,29464,(843) 856-8245,https://stores.factory.jcrew.com/j-crew-mercantile-bowman-place?srccode=X%7CPMG%7CNaturalSearch%7CLocal%7CGoogle%7C1007,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,32.8112479,-79.8528219,5
Other Mothers,"Crossroads Town Center, 12845 West Bell Rd, Surprise", Surprise,AZ,85374,(623) 486-4103,http://www.othermothersaz.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,33.637131,-112.336986,5
Polo Ralph Lauren Factory Store,"10800 Factory Shop Blvd, Gulfport", Gulfport,MS,39503,(228) 863-2454,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=66113&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,30.42858,-89.100895,5
Polo Ralph Lauren Factory Store,"241 Fort Evans Rd NE, Leesburg", Leesburg,VA,20176,(703) 779-2813,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=75078&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,39.105244,-77.5395756,5
Polo Ralph Lauren Factory Store,"1420 Lum Rd, Centralia", Centralia,WA,98531,(360) 736-9000,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=74763&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,46.73269,-122.977158,5
Polo Ralph Lauren Factory Store,"4635 Factory Stores Blvd EE200, Myrtle Beach", Myrtle Beach,SC,29579,(843) 236-4013,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=66397&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,33.751542,-78.95988,5
Polo Ralph Lauren Factory Store,"200 Tanger Outlet Blvd #291, Pooler", Pooler,GA,31322,(912) 450-9966,http://global.ralphlauren.com/en-us/rlstores/pages/StoreDetails.aspx?storeIDs=89429&ab=GooglePlaces,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,32.1343722,-81.2430105,5
J.Crew Mercantile,"2567 Brindle Dr, Harrisburg", Harrisburg,PA,17110,(717) 541-4312,https://stores.factory.jcrew.com/j-crew-factory-the-shoppes-at-susquehanna-marketplace?srccode=X%7CPMG%7CNaturalSearch%7CLocal%7CGoogle%7C166,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.302647,-76.844074,5
Janie and Jack,"4999 Old Orchard Shopping Center, Skokie", Skokie,IL,60077,(847) 763-9223,http://www.janieandjack.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,42.0593521,-87.7487041,4
