name,address,City,State,zip,phone,url,types,closed,lat,long,phase_1_attempt
Marvin's Toy Store,"64 N Williams St, Crystal Lake", Crystal Lake,IL,60014,(779) 220-4179,http://www.marvinstoystore.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,42.2428125,-88.3177457,
Mischief Toy Store,"818 Grand Ave, St Paul", St Paul,MN,55105,(651) 493-3307,http://www.mischieftoy.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,44.939959,-93.134429,
Burlingame Five Little Monkeys,"1111 Burlingame Ave, Burlingame", Burlingame,CA,94010,(650) 342-4411,http://www.5littlemonkeys.com/,"[""store"",""point_of_interest"",""establishment""]",,37.579398,-122.3456614,
Toyology West Bloomfield,"6389 Orchard Lake Rd, West Bloomfield Township", West Bloomfield Township,MI,48322,(248) 562-7524,http://toyologytoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.545018,-83.35944,
Talbotâ€™s Toyland,"445 S B St, San Mateo", San Mateo,CA,94401,(650) 931-8100,http://www.talbotstoyland.com/,"[""store"",""point_of_interest"",""establishment""]",,37.5643593,-122.3208884,
Learning Express Toys of Fort Lauderdale,"5975 N Federal Hwy #138, Fort Lauderdale", Fort Lauderdale,FL,33308,(954) 938-4335,http://www.learningexpress.com/store/ft-lauderdale/,"[""store"",""point_of_interest"",""establishment""]",,26.2017359,-80.109843,
Amato's Toy and Hobby,"283 Main St, New Britain", New Britain,CT,6051,(860) 229-9069,http://www.amatostoyandhobby.com/,"[""store"",""point_of_interest"",""establishment""]",,41.668182,-72.781323,
Genuine Toy Co.,"550 Forest Ave Suite 8, Plymouth", Plymouth,MI,48170,(734) 414-9500,http://www.genuinetoyco.com/,"[""store"",""point_of_interest"",""establishment""]",,42.3688623,-83.4709642,
Once Upon a Time,"19285 Detroit Rd, Rocky River", Rocky River,OH,44116,(440) 333-2327,http://onceuponatimetoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.4816911,-81.835953,
Medina Funtastic Toyz,"140 W Washington St, Medina", Medina,OH,44256,(330) 952-1130,http://www.funtastictoyz.com/,"[""store"",""point_of_interest"",""establishment""]",,41.137662,-81.865786,
One Two Kangaroo Toys,"4022 Campbell Ave, Arlington", Arlington,VA,22206,(703) 845-9099,http://villageatshirlington.com/shopping/specialty/one-two-kangaroo-toys/,"[""store"",""point_of_interest"",""establishment""]",,38.8406355,-77.0875185,
Noggin Factory,"53 Washington St, Dover", Dover,NH,3820,(603) 742-0012,http://www.nogginfactory.com/,"[""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,43.1952515,-70.8732823,
Bright Idea Toys,"1050 Woods Mill Rd, Town and Country", Town and Country,MO,63017,(636) 386-8300,http://www.brightideastoys.com/,"[""store"",""point_of_interest"",""establishment""]",,38.622855,-90.513581,
Learning Express of Havertown,"1305 West Chester Pike, Store #23, Manoa Shopping Center, Havertown", Havertown,PA,19083,(610) 352-8697,http://www.learningexpress.com/store/havertown/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,39.9743731,-75.321854,
Something Safari,"314 Water St, Excelsior", Excelsior,MN,55331,(952) 474-4422,http://www.somethingsafari.com/,"[""book_store"",""food"",""store"",""point_of_interest"",""establishment""]",,44.9017369,-93.5680379,
Jellycat,"800 N Washington Ave #303, Minneapolis", Minneapolis,MN,55401,(612) 332-3088,http://www.jellycat.com/,"[""store"",""point_of_interest"",""establishment""]",,44.9894695,-93.2786884,
ABC Toy Zone,"14003 Grand Ave, Burnsville", Burnsville,MN,55337,(952) 892-7666,http://www.abctoyzone.com/,"[""store"",""point_of_interest"",""establishment""]",,44.7499614,-93.2835558,
PioMu,"Garden Hills, Guaynabo, Puerto Rico", Puerto Rico,rt, Rico,(787) 273-1337,http://www.piomu.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,18.399907,-66.108126,
LearningTower Toys,"4747 Nesconset Hwy, Port Jefferson Station", Port Jefferson Station,NY,11776,(631) 928-2040,http://learningtower.com/,"[""store"",""point_of_interest"",""establishment""]",,40.9163646,-73.0536653,
Palo Alto Sport Shop & Toy World Inc,"526 Waverley St, Palo Alto", Palo Alto,CA,94301,(650) 328-8555,http://www.toyandsport.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,37.4465895,-122.1599999,
Cheeky Monkey Toys,"640 Santa Cruz Ave, Menlo Park", Menlo Park,CA,94025,(650) 328-7975,http://www.cheekymonkeytoys.com/,"[""store"",""point_of_interest"",""establishment""]",,37.4528548,-122.1839557,
Pun's Toy Shop,"839 1/2 Lancaster Ave, Bryn Mawr", Bryn Mawr,PA,19010,(610) 525-9789,http://www.punstoys.com/,"[""store"",""point_of_interest"",""establishment""]",,40.022214,-75.319405,
Science Toy Store,"1805 Scherer Pkwy, St Charles", St Charles,MO,63303,(314) 754-8715,http://www.sciencetoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,38.7638676,-90.524304,
Froggy's Toy Stop,"114 E 4th St, Rochester", Rochester,MI,48307,(248) 651-1511,https://m.facebook.com/froggystoystop/about?expand_all=1&refid=17,"[""store"",""point_of_interest"",""establishment""]",,42.6806342,-83.1330804,
Evan's Toy Shoppe,"1647 Whitney Ave, Hamden", Hamden,CT,6517,(203) 230-2840,http://www.jordiestoyshoppect.com/evans-toy-shoppe/4553908743,"[""store"",""point_of_interest"",""establishment""]",,41.359193,-72.909244,
Great Lakes Hobby & Toy,"43055 Van Dyke, Sterling Heights", Sterling Heights,MI,48314,(586) 254-1600,http://www.greatlakeshobby.com/,"[""store"",""point_of_interest"",""establishment""]",,42.6100775,-83.0323668,
Wooden Toy,"1275 Silas Deane Hwy, Wethersfield", Wethersfield,CT,6109,(860) 529-1945,http://www.thewoodentoy.com/,"[""store"",""point_of_interest"",""establishment""]",,41.6865682,-72.6564865,
Top Ten Toys,"600 Pine St, Seattle", Seattle,WA,98101,(206) 623-1370,http://www.toptentoys.com/,"[""store"",""point_of_interest"",""establishment""]",,47.6131543,-122.3354724,
Tiddlywinks Toys and Games,"129 N Glassell St, Orange", Orange,CA,92866,(714) 997-8697,http://tiddlywinksoc.com/,"[""store"",""point_of_interest"",""establishment""]",,33.7887397,-117.8528825,
G. Willikers! Toy Shop,"13 Market St, Portsmouth", Portsmouth,NH,3801,(603) 436-7746,http://www.gwillikers.com/,"[""store"",""point_of_interest"",""establishment""]",,43.0773772,-70.7573547,
Elite Toy Store Inc.,"203 Sampson Ave, Islandia", Islandia,NY,11749,(646) 322-8365,http://www.elitetoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,40.8045817,-73.1592121,
Toy Tyme,"29 Chesterfield Center #134, Chesterfield", Chesterfield,MO,63017,(636) 733-0088,http://www.toytyme.com/,"[""store"",""point_of_interest"",""establishment""]",,38.6507784,-90.5644321,
Rock Paper Scissors Toy Store,"45 Depot St, Duxbury", Duxbury,MA,2332,(781) 452-7376,http://www.rockpaperscissorsdux.com/,"[""store"",""point_of_interest"",""establishment""]",,42.0233744,-70.6831964,
Frisco Train Store,"24 Front St, Valley Park", Valley Park,MO,63088,(636) 529-1660,http://friscotrainstore.com/,"[""store"",""point_of_interest"",""establishment""]",,38.5497984,-90.4918063,
Retroland Toys,"37918 Vine St, Willoughby", Willoughby,OH,44094,(440) 942-8060,http://www.retrolandtoys.com,"[""store"",""point_of_interest"",""establishment""]",,41.6423831,-81.4098245,
Walmart Santurce,"701 RH Todd Ave Stop 18, San Juan", San Juan,PR,907,(787) 641-5600,http://www.walmartpr.com/,"[""department_store"",""grocery_or_supermarket"",""food"",""store"",""point_of_interest"",""establishment""]",,18.4470688,-66.0764373,
Owl's Nest Toy Shop,"1220 Prospect St, Southlake", Southlake,TX,76092,(817) 251-0155,http://www.owlsnesttoys.com/,"[""store"",""point_of_interest"",""establishment""]",,32.9440997,-97.1332482,
G Willikers,"22 Forest Ave, Locust Valley", Locust Valley,NY,11560,(516) 671-3335,http://www.gwillikersgifts.com/,"[""store"",""point_of_interest"",""establishment""]",,40.8758189,-73.5976144,
Toybox,"14600 Lakeside Cir #1150, Sterling Heights", Sterling Heights,MI,48313,(586) 532-5405,http://www.everyonelovestoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.6227344,-82.9859176,
Go Bananas,"42395 Ryan Rd #122, Ashburn", Ashburn,VA,20148,(703) 327-1900,http://www.gobananastoys.com/,"[""store"",""point_of_interest"",""establishment""]",,38.9857033,-77.5368593,
Jordie's Toy Shoppe,"1100 Village Walk, Guilford", Guilford,CT,6437,(203) 453-8560,http://www.jordiestoyshoppect.com/,"[""store"",""point_of_interest"",""establishment""]",,41.2874013,-72.6740713,
Suarez Toys House,"Carolina, Puerto Rico", Puerto Rico,rt, Rico,(787) 288-5050,http://www.suareztoyhouse.com/products/,"[""store"",""point_of_interest"",""establishment""]",,18.3807819,-65.9573872,
Kremer's Toy And Hobby,"11011 61st St NE #120, Albertville", Albertville,MN,55301,(763) 497-2777,http://www.kremerstoyandhobby.com/,"[""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,45.2398436,-93.6654475,
Fun Stuff Inc,"3639 Merrick Rd, Seaford", Seaford,NY,11783,(516) 409-8697,http://www.fstoys.com/,"[""store"",""point_of_interest"",""establishment""]",,40.6654592,-73.4965462,
Happy Up Inc. - previously Once Upon a Toy,"6654 Edwardsville Crossing Dr, Edwardsville", Edwardsville,IL,62025,(618) 656-9596,http://happyupinc.com/,"[""store"",""point_of_interest"",""establishment""]",,38.7883064,-89.9535136,
kiddywampus,"1023 Mainstreet, Hopkins", Hopkins,MN,55343,(952) 926-7871,http://www.kiddywampus.com/,"[""store"",""point_of_interest"",""establishment""]",,44.924557,-93.4135759,
Character Development Books,"209 Haverford Ave, Narberth", Narberth,PA,19072,(610) 668-1545,http://characterdevelopment.net/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,40.0053235,-75.2617359,
Flying Circus Toys,"6500 Labeaux Ave NE e140, Albertville", Albertville,MN,55301,(763) 497-8800,http://flyingcircustoys.com/,"[""store"",""point_of_interest"",""establishment""]",,45.244836,-93.66093,
Acme Superstore,"905 E State Rd 434 #100, Longwood", Longwood,FL,32750,(407) 331-0433,http://www.acme-superstore.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,28.6982645,-81.3293837,
Learning Express Toys of Newtown,"2833 S Eagle Rd, Newtown", Newtown,PA,18940,(215) 968-6850,http://www.learningexpress.com/stores/newtown,"[""store"",""point_of_interest"",""establishment""]",,40.2349934,-74.9398811,
Time Machine Hobby,"71 Hilliard St, Manchester", Manchester,CT,6042,(860) 646-0610,http://www.timemachinehobby.com/,"[""store"",""point_of_interest"",""establishment""]",,41.7930698,-72.5285628,
The Learning Express & The Teaching Room,"158 South St, Morristown", Morristown,NJ,7960,(973) 540-8358,http://www.learningexpress.com/stores/,"[""store"",""point_of_interest"",""establishment""]",,40.7927879,-74.4764185,
Wonder World Toys,"23 S Main St, Medford", Medford,NJ,8055,(609) 953-1118,http://www.wonderworldmedford.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,39.8988031,-74.823375,
Animal Instinct,"232 Main St, Ogunquit", Ogunquit,ME,3907,(207) 646-7728,http://www.animalinstinct.com/,"[""store"",""point_of_interest"",""establishment""]",,43.2493594,-70.5996416,
The Toy Room,"153 Greenwood Ave # 3, Bethel", Bethel,CT,6801,(203) 791-0531,http://www.toyroombethel.com/,"[""store"",""point_of_interest"",""establishment""]",,41.3711879,-73.4125922,
Silly Willyz,"161 W Wisconsin Ave #1h, Village of Pewaukee", Village of Pewaukee,WI,53072,(262) 696-4021,http://www.sillywillyz.com/,"[""store"",""point_of_interest"",""establishment""]",,43.0839052,-88.2637825,
Learning Express Toys of Windermere / Ocoee,"2564 Maguire Rd, Ocoee", Ocoee,FL,34761,(407) 614-8383,https://learningexpress.com/stores/windermere/,"[""store"",""point_of_interest"",""establishment""]",,28.532913,-81.539893,
Tactical Toy Store USA,"300 Travis Ln, Waukesha", Waukesha,WI,53189,(262) 278-4313,http://www.tacticaltoystoreusa.com/,"[""store"",""point_of_interest"",""establishment""]",,42.9765925,-88.2324559,
No Kidding,"33 County Road, Route 6, Mattapoisett", Mattapoisett,MA,2739,(508) 758-3323,http://www.nokiddingtoys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.663831,-70.813861,
The Toy Vault Warehouse,"34 Lark Industrial Dr # B, Greenville", Greenville,RI,2828,(401) 349-3889,http://www.thetoyvault.com/,"[""storage"",""store"",""point_of_interest"",""establishment""]",,41.864036,-71.536409,
The Toy Tree,"14 Church Hill Rd, Newtown", Newtown,CT,6470,(203) 270-8697,http://www.toytreeshop.com/,"[""store"",""point_of_interest"",""establishment""]",,41.4138442,-73.3046236,
Dinosaur Farm,"1510 Mission St, South Pasadena", South Pasadena,CA,91030,(626) 441-2767,http://www.dinosaurfarm.com/,"[""store"",""point_of_interest"",""establishment""]",,34.1159733,-118.1511693,
Smooshies,"260 Crandon Blvd #27, Key Biscayne", Key Biscayne,FL,33149,(305) 361-9393,http://www.smooshies.com/,"[""cafe"",""restaurant"",""food"",""store"",""point_of_interest"",""establishment""]",,25.696538,-80.164333,
Dragon's Nest Inc,"31 Market Square, Newburyport", Newburyport,MA,1950,(978) 462-8802,http://www.dragonsnesttoys.com/,"[""store"",""point_of_interest"",""establishment""]",,42.811091,-70.869892,
JouJou,"555 Main St, Salt Lake City", Salt Lake City,UT,84111,(801) 258-6557,http://www.grandamerica.com/services/grand-shopping/Jou_Jou,"[""food"",""store"",""point_of_interest"",""establishment""]",,40.7575694,-111.8901518,
The Tutoring Toy,"1400 Foothill Dr, Salt Lake City", Salt Lake City,UT,84108,(801) 581-1060,http://www.tutoringtoy.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,40.7392947,-111.8270197,
Apples Toy Store,"2469 Tall Maple Loop, Ocoee", Ocoee,FL,34761,(407) 448-1632,http://www.applestoystore.com/,"[""electronics_store"",""store"",""point_of_interest"",""establishment""]",,28.6052647,-81.5146479,
YoYo Heaven,"35 S Main St, Concord", Concord,NH,3301,(603) 290-5353,http://www.yoyoheaven.com/,"[""store"",""point_of_interest"",""establishment""]",,43.2027605,-71.5348007,
Orlando Premium III CC/GM/TO,"8200 Vineland Ave, Orlando", Orlando,FL,32821,(407) 787-3909,http://www.calendarholdings.com/,"[""book_store"",""store"",""point_of_interest"",""establishment""]",,28.3881042,-81.492323,
Once Upon a Toy,"1375 Buena Vista Dr, Orlando", Orlando,FL,32821,(407) 939-5277,https://www.disneysprings.com/shops/once-upon-a-toy/?CMP=OKC-wdw_gmap_shop_555,"[""store"",""point_of_interest"",""establishment""]",,28.371492,-81.514486,
Play Time Toys,"6235 Edgewater Dr, Orlando", Orlando,FL,32810,(407) 296-9898,http://www.playtimetoys.net/,"[""store"",""point_of_interest"",""establishment""]",,28.615756,-81.420612,
Kiddly Winks,"801 Williams St, Longmeadow", Longmeadow,MA,1106,(413) 567-0688,http://www.kiddlywinks.com/,"[""store"",""point_of_interest"",""establishment""]",,42.0552365,-72.5544046,
Mudpuddles,"Kerrytown Market & Shops, 407 N 5th Ave, Ann Arbor", Ann Arbor,MI,48104,(734) 662-0022,http://kerrytown.com/mudpuddles/,"[""store"",""point_of_interest"",""establishment""]",,42.2844708,-83.7462969,
Learning Shop Mequon,"11043 N Port Washington Rd, Mequon", Mequon,WI,53092,(262) 478-0227,http://www.learningshop.com/,"[""store"",""point_of_interest"",""establishment""]",,43.2189018,-87.924827,
ToyCrazy,"2211 Larkspur Landing Cir, Larkspur", Larkspur,CA,94939,(415) 925-1775,http://gotoycrazy.com/,"[""store"",""point_of_interest"",""establishment""]",,37.9468514,-122.5087767,
Drâ€™s Toy Store Medical Equipment,"2512 SW 30th Ave, Hallandale Beach", Hallandale Beach,FL,33009,(954) 457-0075,https://www.drstoystore.com/,"[""health"",""store"",""point_of_interest"",""establishment""]",,25.9892633,-80.1665401,
Teaching Toys Too,"4635 Point Fosdick Dr NW # 300, Gig Harbor", Gig Harbor,WA,98335,(253) 514-6113,http://www.teachingtoysandbooks.com/,"[""store"",""point_of_interest"",""establishment""]",,47.3005557,-122.5766268,
Funky Monkey Toys,"5 N Washington St, Oxford", Oxford,MI,48371,(248) 572-4828,http://www.funkymonkeytoysonline.com/,"[""store"",""point_of_interest"",""establishment""]",,42.8249177,-83.2654985,
Mudpuddles Toys & Books,"16420 SW Langer Dr, Sherwood", Sherwood,OR,97140,(503) 625-7699,http://www.mudpuddlestoys.com/,"[""store"",""point_of_interest"",""establishment""]",,45.3659735,-122.8448842,
Funny Toys LLC,"1677 Market St, Weston", Weston,FL,33326,(954) 306-0866,http://funnytoysllcfl.com/,"[""store"",""point_of_interest"",""establishment""]",,26.0978882,-80.3810186,
Island Treasure Toys,"20 Bow St, Freeport", Freeport,ME,4032,(207) 865-7007,http://www.islandtreasuretoys.com/,"[""store"",""point_of_interest"",""establishment""]",,43.856678,-70.101927,
Learning Express Toys of Woodstock,"2295 Towne Lake Pkwy, Woodstock", Woodstock,GA,30189,(770) 517-2766,http://www.learningexpress.com/store/woodstock/,"[""store"",""point_of_interest"",""establishment""]",,34.1127456,-84.5556628,
Timbuk Toys Lakewood,"7830 W Alameda Ave, Lakewood", Lakewood,CO,80226,(303) 985-0035,http://www.timbuktoys.com/,"[""store"",""point_of_interest"",""establishment""]",,39.709939,-105.0837468,
The Wooden Horse,"796 Blossom Hill Rd, Los Gatos", Los Gatos,CA,95032,(888) 356-8821,http://woodenhorsetoys.com/,"[""store"",""point_of_interest"",""establishment""]",,37.2347378,-121.9610447,
Learning Express Toys of Richboro,"Crossroads Plaza, 800 Bustleton Pike, Richboro", Richboro,PA,18954,(215) 953-6800,http://www.learningexpress.com/stores/richboro,"[""store"",""point_of_interest"",""establishment""]",,40.208185,-75.013121,
Cedarburg Toy Co.,"Washington Ave, Cedarburg", Cedarburg,WI,53012,(262) 377-7224,http://cedarburgtoyco.com/,"[""furniture_store"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,43.297323,-87.987357,
Adventure Toy Store,"12665 Minuteman Dr #1, Draper", Draper,UT,84020,(801) 576-6460,http://adventuretoystore.com/,"[""bicycle_store"",""store"",""point_of_interest"",""establishment""]",,40.5207539,-111.8901944,
JAKE's Toy Box,"15530 W 64th Ave, Arvada", Arvada,CO,80007,(720) 974-3222,http://www.jakestoyboxonline.com/,"[""store"",""point_of_interest"",""establishment""]",,39.810484,-105.173385,
Razzle Toys,"5910 S University Blvd, Greenwood Village", Greenwood Village,CO,80121,(303) 730-1505,http://www.razzle-toys.com/,"[""store"",""point_of_interest"",""establishment""]",,39.6087522,-104.9573939,
Anime Orlando Inc.,"9645 E Colonial Dr #104, Orlando", Orlando,FL,32817,(407) 384-1800,http://www.animeorlando.com/,"[""store"",""point_of_interest"",""establishment""]",,28.569418,-81.249848,
The Growing Tree Toy Shop,"114 W State St, Kennett Square", Kennett Square,PA,19348,(610) 444-8484,http://www.thegrowingtree.com/,"[""store"",""point_of_interest"",""establishment""]",,39.84645,-75.712172,
Necker's Toyland,"1591 Hopmeadow St, Simsbury", Simsbury,CT,6070,(860) 658-5783,http://neckerstoyland.com/,"[""store"",""point_of_interest"",""establishment""]",,41.9154718,-72.7905312,
Learning Express Toys Roseville,"2030 Douglas Blvd, Roseville", Roseville,CA,95661,(916) 783-6310,http://www.learningexpress.com/store/roseville/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,38.7428083,-121.251025,
Toy Market,"204 Bellevue Ave, Hammonton", Hammonton,NJ,8037,(609) 561-2121,http://www.mytoymarket.com/,"[""store"",""point_of_interest"",""establishment""]",,39.6360368,-74.8032473,
The Good Toy Group,"23 N Rd, South Kingstown", South Kingstown,RI,2879,(401) 284-0610,http://www.goodtoygroup.com/,"[""store"",""point_of_interest"",""establishment""]",,41.452744,-71.495964,
Blue Turtle Toys Inc,"2314 Far Hills Ave, Dayton", Dayton,OH,45419,(937) 294-6900,http://www.blueturtletoystore.com/,"[""store"",""point_of_interest"",""establishment""]",,39.7102106,-84.1707641,
Let's Play,"263 E Main St, Hillsboro", Hillsboro,OR,97123,(503) 640-8301,http://letsplaytoys.com/,"[""store"",""point_of_interest"",""establishment""]",,45.5228084,-122.9865804,
Ormandy's,"10 Public Square, Medina", Medina,OH,44256,(330) 722-1019,http://www.ormandys.com/,"[""store"",""point_of_interest"",""establishment""]",,41.1388449,-81.864298,
Generations Toys,"113 Main St, Phoenixville", Phoenixville,PA,19460,(610) 933-8100,http://www.generationsonmain.com/,"[""store"",""point_of_interest"",""establishment""]",,40.1324735,-75.51546,
The Toys Time Forgot,"137 Cherry St E, Canal Fulton", Canal Fulton,OH,44614,(330) 854-1700,http://www.toystimeforgot.com/,"[""store"",""point_of_interest"",""establishment""]",,40.889925,-81.596904,
J W Allen & Sons Toys & Candy,"1675 Redstone Center Dr, Park City", Park City,UT,84098,(435) 575-8697,http://www.parkcitytoystore.com/,"[""food"",""home_goods_store"",""store"",""point_of_interest"",""establishment""]",,40.7200181,-111.5421355,
Whittle Shortline,"24 Front St, Valley Park", Valley Park,MO,63088,(314) 966-0302,https://www.woodentrain.com/,"[""store"",""point_of_interest"",""establishment""]",,38.5498622,-90.4916848,
Kazoo & Company Toy Store,"8500 PeÃ±a Blvd, Denver", Denver,CO,80249,(303) 317-1285,http://www.kazootoys.com/,"[""store"",""point_of_interest"",""establishment""]",,39.8586175,-104.6735753,
Timbuk Toys Highlands Ranch,"9315 Dorchester St #107, Highlands Ranch", Highlands Ranch,CO,80129,(303) 346-3030,http://timbuktoys.com/,"[""store"",""point_of_interest"",""establishment""]",,39.546906,-105.000106,
Passion Parties by Cory,"Cotton Hill Rd, Gilford", Gilford,NH,3249,(603) 455-0180,http://corylee.yourpassionconsultant.com/,"[""health"",""clothing_store"",""store"",""point_of_interest"",""establishment""]",,43.5070783,-71.4335754,
Stoney's Village Toy Shoppe,"323 W 6th St, Covington", Covington,KY,41011,(859) 655-9571,http://www.stoneystoys.com/,"[""clothing_store"",""store"",""point_of_interest"",""establishment""]",,39.08391,-84.516921,
